Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Team_PTS,Team_AST,Tean_TRB,Team_TOV,Team_STL
447,Devin Vassell,SG,23,SAS,16,10,459,105,217,0.484,43,110,0.391,62,107,0.579,0.583,36,46,0.783,6,44,50,45,16,2,24,18,289,vassede01,2325,613,897,340,144
465,Victor Wembanyama,PF,20,SAS,20,20,605,141,328,0.43,26,102,0.255,115,226,0.509,0.47,72,88,0.818,48,156,204,51,26,54,66,49,380,wembavi01,2325,613,897,340,144
466,Blake Wesley,SG,20,SAS,5,0,24,3,8,0.375,0,1,0,3,7,0.429,0.375,1,2,0.5,1,1,2,5,0,1,1,3,7,weslebl01,2325,613,897,340,144
1,Precious Achiuwa,C,24,TOR,16,0,289,52,112,0.464,10,30,0.333,42,82,0.512,0.509,14,25,0.56,36,63,99,31,9,6,23,29,128,achiupr01,2443,623,1009,315,170
13,OG Anunoby,SF,26,TOR,18,18,585,99,215,0.46,45,116,0.388,54,99,0.545,0.565,24,36,0.667,18,59,77,44,20,13,30,43,267,anunoog01,2443,623,1009,315,170
28,Scottie Barnes,SG,22,TOR,22,22,766,163,348,0.468,44,115,0.383,119,233,0.511,0.532,65,87,0.747,60,142,202,124,38,28,54,45,435,barnesc01,2443,623,1009,315,170
51,Chris Boucher,PF,31,TOR,20,0,292,44,97,0.454,14,37,0.378,30,60,0.5,0.526,32,39,0.821,25,53,78,8,7,10,9,36,134,bouchch01,2443,623,1009,315,170
108,Gradey Dick,SG,20,TOR,15,1,220,17,63,0.27,10,41,0.244,7,22,0.318,0.349,14,14,1,7,15,22,15,4,0,12,23,58,dickgr01,2443,623,1009,315,170
129,Malachi Flynn,PG,25,TOR,22,0,355,42,100,0.42,19,58,0.328,23,42,0.548,0.515,14,18,0.778,9,33,42,48,15,4,20,29,117,flynnma01,2443,623,1009,315,170
171,Ron Harper Jr.,PF,23,TOR,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,harpero02,2443,623,1009,315,170
287,Jalen McDaniels,SF,26,TOR,15,0,138,13,46,0.283,4,22,0.182,9,24,0.375,0.326,2,2,1,4,14,18,9,5,3,6,13,32,mcdanja01,2443,623,1009,315,170
328,Markquis Nowell,SG,24,TOR,1,0,4,0,1,0,0,0,,0,1,0,0,2,2,1,2,0,2,2,1,0,0,0,2,nowelma01,2443,623,1009,315,170
