Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Team_PTS,Team_AST,Tean_TRB,Team_TOV,Team_STL
469,Derrick White,SG,29,BOS,18,18,583,89,186,0.478,43,105,0.41,46,81,0.568,0.594,56,64,0.875,13,56,69,93,20,16,33,44,277,whitede01,2463,523,984,291,138
56,Mikal Bridges,SF,27,BRK,21,21,731,178,361,0.493,45,119,0.378,133,242,0.55,0.555,86,100,0.86,23,104,127,83,21,12,51,36,487,bridgmi01,2455,546,1015,279,129
60,Armoni Brooks,PG,25,BRK,5,0,45,6,17,0.353,5,13,0.385,1,4,0.25,0.5,0,0,,2,8,10,0,0,0,1,1,17,brookar01,2455,546,1015,279,129
88,Nic Claxton,C,24,BRK,12,12,326,64,97,0.66,0,0,,64,97,0.66,0.66,16,28,0.571,41,71,112,19,7,29,9,29,144,claxtni01,2455,546,1015,279,129
89,Noah Clowney,PF,19,BRK,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,clownno01,2455,546,1015,279,129
110,Spencer Dinwiddie,PG,30,BRK,20,20,627,94,237,0.397,44,130,0.338,50,107,0.467,0.489,60,75,0.8,10,67,77,126,16,3,34,32,292,dinwisp01,2455,546,1015,279,129
128,Dorian Finney-Smith,PF,30,BRK,20,17,622,82,174,0.471,53,118,0.449,29,56,0.518,0.624,4,6,0.667,41,66,107,26,11,13,18,45,221,finnedo01,2455,546,1015,279,129
145,Harry Giles,C,25,BRK,3,0,17,9,12,0.75,1,3,0.333,8,9,0.889,0.792,1,3,0.333,2,2,4,0,0,1,1,2,20,gilesha01,2455,546,1015,279,129
221,Cameron Johnson,PF,27,BRK,14,14,406,76,166,0.458,33,88,0.375,43,78,0.551,0.557,20,24,0.833,27,55,82,38,11,1,18,26,205,johnsca02,2455,546,1015,279,129
300,Dariq Whitehead,SF,19,BRK,1,0,3,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,1,0,0,1,whiteda01,2455,546,1015,279,129
331,Royce O'Neale,SF,30,BRK,20,5,581,56,147,0.381,49,124,0.395,7,23,0.304,0.548,5,10,0.5,15,94,109,69,16,17,18,59,166,onealro01,2455,546,1015,279,129
399,Day'Ron Sharpe,C,22,BRK,21,0,337,59,104,0.567,0,4,0,59,100,0.59,0.567,29,47,0.617,52,91,143,19,8,16,24,48,147,sharpda01,2455,546,1015,279,129
403,Ben Simmons,PG,27,BRK,6,6,191,19,36,0.528,0,0,,19,36,0.528,0.528,1,4,0.25,16,49,65,40,3,5,15,16,39,simmobe01,2455,546,1015,279,129
408,Dennis Smith Jr.,PG,26,BRK,13,0,229,34,80,0.425,7,22,0.318,27,58,0.466,0.469,12,14,0.857,11,28,39,45,11,3,12,28,87,smithde03,2455,546,1015,279,129
428,Cam Thomas,SG,22,BRK,12,10,378,107,238,0.45,25,73,0.342,82,165,0.497,0.502,45,54,0.833,2,40,42,28,8,7,20,24,284,thomaca02,2455,546,1015,279,129
457,Lonnie Walker IV,SG,25,BRK,17,0,362,88,180,0.489,44,95,0.463,44,85,0.518,0.611,29,38,0.763,3,42,45,28,10,7,25,16,249,walkelo01,2455,546,1015,279,129
463,Trendon Watford,PF,23,BRK,14,0,203,39,75,0.52,5,14,0.357,34,61,0.557,0.553,13,14,0.929,16,35,51,25,7,3,16,30,96,watfotr01,2455,546,1015,279,129
485,Jalen Wilson,PF,23,BRK,2,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,0,wilsoja03,2455,546,1015,279,129
42,Onuralp Bitim,SG,24,CHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,bitimon01,2493,531,979,283,193
79,Jevon Carter,PG,28,CHI,23,0,325,46,119,0.387,26,73,0.356,20,46,0.435,0.496,0,1,0,2,10,12,29,12,6,15,26,118,carteje01,2493,531,979,283,193
81,Alex Caruso,SG,29,CHI,20,9,470,67,125,0.536,32,69,0.464,35,56,0.625,0.664,24,31,0.774,25,43,68,46,26,16,27,45,190,carusal01,2493,531,979,283,193
97,Torrey Craig,SF,33,CHI,23,7,488,49,112,0.438,24,61,0.393,25,51,0.49,0.545,13,15,0.867,44,71,115,26,15,9,14,55,135,craigto01,2493,531,979,283,193
106,DeMar DeRozan,SF,34,CHI,21,21,748,160,362,0.442,19,53,0.358,141,309,0.456,0.468,118,147,0.803,18,57,75,106,21,16,27,43,457,derozde01,2493,531,979,283,193
114,Ayo Dosunmu,SG,24,CHI,21,1,382,52,106,0.491,17,48,0.354,35,58,0.603,0.571,14,18,0.778,9,27,36,37,15,2,17,33,135,dosunay01,2493,531,979,283,193
115,Andre Drummond,C,30,CHI,23,0,303,54,106,0.509,0,1,0,54,105,0.514,0.509,28,50,0.56,65,88,153,14,22,7,25,39,136,drumman01,2493,531,979,283,193
248,Zach LaVine,SG,28,CHI,18,18,635,132,298,0.443,43,128,0.336,89,170,0.524,0.515,71,82,0.866,6,82,88,61,17,4,36,37,378,lavinza01,2493,531,979,283,193
344,Julian Phillips,SF,20,CHI,12,0,59,5,16,0.313,0,7,0,5,9,0.556,0.313,1,4,0.25,2,7,9,5,1,0,1,8,11,phillju01,2493,531,979,283,193
424,Terry Taylor,PF,24,CHI,5,0,12,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,1,0,0,0,2,taylote01,2493,531,979,283,193
426,Dalen Terry,SG,21,CHI,7,0,26,3,9,0.333,1,4,0.25,2,5,0.4,0.389,0,2,0,2,8,10,4,0,1,1,2,7,terryda01,2493,531,979,283,193
450,Nikola Vu?evi?,C,33,CHI,23,23,790,157,348,0.451,20,79,0.253,137,269,0.509,0.48,35,41,0.854,68,169,237,73,19,16,40,63,369,vucevni01,2493,531,979,283,193
468,Coby White,PG,23,CHI,23,23,774,126,291,0.433,68,163,0.417,58,128,0.453,0.55,38,45,0.844,8,71,79,100,20,6,43,63,358,whiteco01,2493,531,979,283,193
480,Patrick Williams,PF,22,CHI,23,13,581,73,169,0.432,24,71,0.338,49,98,0.5,0.503,27,38,0.711,26,70,96,30,24,22,27,37,197,willipa01,2493,531,979,283,193
19,Amari Bailey,PG,19,CHO,1,0,3,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,0,2,0,0,0,0,0,2,baileam01,2268,516,866,283,141
21,LaMelo Ball,PG,22,CHO,15,15,501,132,298,0.443,52,134,0.388,80,164,0.488,0.53,54,63,0.857,23,59,82,123,21,4,59,52,370,ballla01,2268,516,866,283,141
45,Leaky Black,SF,24,CHO,4,0,17,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,0,2,2,1,1,2,0,1,5,blackle01,2268,516,866,283,141
52,James Bouknight,SG,23,CHO,1,0,5,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,1,0,1,0,0,0,0,0,5,bouknja01,2268,516,866,283,141
57,Miles Bridges,SF,25,CHO,10,8,368,74,148,0.5,21,50,0.42,53,98,0.541,0.571,33,39,0.846,9,63,72,27,15,3,15,20,202,bridgmi02,2268,516,866,283,141
182,Gordon Hayward,SF,33,CHO,19,19,619,111,243,0.457,18,49,0.367,93,194,0.479,0.494,49,64,0.766,23,71,94,86,24,9,39,34,289,haywago01,2268,516,866,283,141
269,Théo Maledon,PG,22,CHO,13,1,200,19,66,0.288,5,30,0.167,14,36,0.389,0.326,11,12,0.917,4,19,23,28,7,0,15,18,54,maledth01,2268,516,866,283,141
290,Bryce McGowens,SG,21,CHO,15,1,227,22,47,0.468,14,30,0.467,8,17,0.471,0.617,8,10,0.8,4,22,26,13,6,2,8,21,66,mcgowbr01,2268,516,866,283,141
297,Brandon Miller,SF,21,CHO,18,12,571,99,221,0.448,34,84,0.405,65,137,0.474,0.525,30,37,0.811,20,56,76,39,11,11,26,52,262,millebr02,2268,516,866,283,141
371,Nick Richards,C,26,CHO,14,1,255,41,56,0.732,0,0,,41,56,0.732,0.732,36,44,0.818,26,61,87,5,6,17,16,38,118,richani01,2268,516,866,283,141
381,Terry Rozier,SG,29,CHO,11,11,404,94,205,0.459,23,70,0.329,71,135,0.526,0.515,38,45,0.844,6,34,40,79,10,5,27,22,249,roziete01,2268,516,866,283,141
410,Ish Smith,PG,35,CHO,14,0,219,21,35,0.6,1,2,0.5,20,33,0.606,0.614,0,0,,4,20,24,35,5,1,18,15,43,smithis01,2268,516,866,283,141
413,Nick Smith Jr.,SG,19,CHO,8,0,57,12,25,0.48,8,12,0.667,4,13,0.308,0.64,0,0,,2,3,5,2,1,2,2,5,32,smithni01,2268,516,866,283,141
433,JT Thor,PF,21,CHO,17,1,280,26,62,0.419,12,33,0.364,14,29,0.483,0.516,0,4,0,14,35,49,10,4,5,4,21,64,thorjt01,2268,516,866,283,141
459,P.J. Washington,PF,25,CHO,19,12,590,101,234,0.432,38,116,0.328,63,118,0.534,0.513,25,35,0.714,22,77,99,46,14,18,29,55,265,washipj01,2268,516,866,283,141
479,Mark Williams,C,22,CHO,19,19,508,98,151,0.649,0,0,,98,151,0.649,0.649,46,64,0.719,76,108,184,22,16,20,17,50,242,willima07,2268,516,866,283,141
7,Jarrett Allen,C,25,CLE,17,17,485,90,134,0.672,0,0,,90,134,0.672,0.672,41,57,0.719,52,89,141,38,10,17,30,47,221,allenja01,2448,559,981,321,176
31,Emoni Bates,SF,20,CLE,7,0,52,4,15,0.267,3,12,0.25,1,3,0.333,0.367,1,2,0.5,1,8,9,2,1,1,1,2,12,batesem01,2448,559,981,321,176
139,Darius Garland,PG,24,CLE,17,17,567,121,256,0.473,26,80,0.325,95,176,0.54,0.523,65,79,0.823,10,35,45,103,27,4,66,28,333,garlada01,2448,559,981,321,176
219,Ty Jerome,SG,26,CLE,2,0,15,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,1,0,1,3,0,0,1,2,4,jeromty01,2448,559,981,321,176
227,Damian Jones,C,28,CLE,11,0,54,4,8,0.5,0,0,,4,8,0.5,0.5,1,2,0.5,4,7,11,3,1,2,4,4,9,jonesda03,2448,559,981,321,176
253,Caris LeVert,SG,29,CLE,16,1,486,87,213,0.408,27,87,0.31,60,126,0.476,0.472,37,50,0.74,7,52,59,57,16,6,22,29,238,leverca01,2448,559,981,321,176
293,Sam Merrill,SG,27,CLE,11,0,85,11,30,0.367,11,27,0.407,0,3,0,0.55,0,0,,3,6,9,7,2,0,2,8,33,merrisa01,2448,559,981,321,176
306,Donovan Mitchell,SG,27,CLE,17,17,605,162,356,0.455,51,143,0.357,111,213,0.521,0.527,94,108,0.87,19,81,100,90,33,7,47,33,469,mitchdo01,2448,559,981,321,176
307,Evan Mobley,PF,22,CLE,21,21,705,142,248,0.573,2,10,0.2,140,238,0.588,0.577,50,65,0.769,56,164,220,61,17,35,48,60,336,mobleev01,2448,559,981,321,176
308,Isaiah Mobley,PF,24,CLE,2,0,10,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0,2,2,3,1,0,1,2,2,mobleis01,2448,559,981,321,176
324,Georges Niang,PF,30,CLE,22,1,494,71,166,0.428,36,98,0.367,35,68,0.515,0.536,12,13,0.923,8,79,87,29,7,2,15,51,190,niangge01,2448,559,981,321,176
335,Isaac Okoro,SF,23,CLE,13,5,318,35,72,0.486,9,25,0.36,26,47,0.553,0.549,12,17,0.706,14,28,42,20,14,7,10,31,91,okorois01,2448,559,981,321,176
351,Craig Porter Jr.,PG,23,CLE,14,1,200,40,73,0.548,3,7,0.429,37,66,0.561,0.568,18,26,0.692,3,23,26,34,9,6,14,15,101,portecr01,2448,559,981,321,176
419,Max Strus,SF,27,CLE,22,22,770,114,266,0.429,64,172,0.372,50,94,0.532,0.549,23,28,0.821,17,105,122,87,22,13,33,62,315,strusma01,2448,559,981,321,176
432,Tristan Thompson,PF,32,CLE,17,0,154,17,25,0.68,0,0,,17,25,0.68,0.68,7,17,0.412,19,24,43,11,2,6,8,14,41,thomptr01,2448,559,981,321,176
451,Dean Wade,PF,27,CLE,15,8,303,18,51,0.353,15,47,0.319,3,4,0.75,0.5,2,4,0.5,16,48,64,11,14,3,6,32,53,wadede01,2448,559,981,321,176
100,Seth Curry,SG,33,DAL,17,1,198,28,70,0.4,15,39,0.385,13,31,0.419,0.507,7,8,0.875,8,16,24,16,10,2,5,13,78,curryse01,2518,540,895,246,132
105,Dexter Dennis,SG,24,DAL,2,0,7,2,6,0.333,0,3,0,2,3,0.667,0.333,0,1,0,1,1,2,0,0,0,0,0,4,dennide01,2518,540,895,246,132
112,Luka Don?i?,PG,24,DAL,20,20,718,219,449,0.488,78,204,0.382,141,245,0.576,0.575,121,158,0.766,14,153,167,173,26,10,78,36,637,doncilu01,2518,540,895,246,132
126,Dante Exum,PG,28,DAL,18,2,229,43,87,0.494,7,24,0.292,36,63,0.571,0.534,12,19,0.632,10,38,48,38,7,2,6,20,105,exumda01,2518,540,895,246,132
161,Josh Green,SG,23,DAL,18,5,454,46,109,0.422,23,63,0.365,23,46,0.5,0.528,9,17,0.529,10,42,52,43,17,3,17,31,124,greenjo02,2518,540,895,246,132
168,Tim Hardaway Jr.,SF,31,DAL,19,0,526,109,257,0.424,66,172,0.384,43,85,0.506,0.553,38,43,0.884,7,58,65,29,4,0,15,20,322,hardati02,2518,540,895,246,132
170,Jaden Hardy,SG,21,DAL,17,0,190,38,98,0.388,13,45,0.289,25,53,0.472,0.454,18,27,0.667,8,22,30,23,5,0,13,18,107,hardyja02,2518,540,895,246,132
193,Richaun Holmes,C,30,DAL,11,1,115,13,25,0.52,0,0,,13,25,0.52,0.52,5,12,0.417,15,24,39,5,1,6,7,17,31,holmeri01,2518,540,895,246,132
207,Kyrie Irving,SG,31,DAL,17,17,541,146,310,0.471,43,112,0.384,103,198,0.52,0.54,56,62,0.903,10,57,67,88,20,5,23,31,391,irvinky01,2518,540,895,246,132
228,Derrick Jones Jr.,SF,26,DAL,21,20,508,77,155,0.497,36,91,0.396,41,64,0.641,0.613,23,32,0.719,26,55,81,21,14,17,20,35,213,jonesde02,2518,540,895,246,132
239,Maxi Kleber,C,32,DAL,5,1,90,4,16,0.25,3,9,0.333,1,7,0.143,0.344,6,10,0.6,4,17,21,10,1,1,4,8,17,klebima01,2518,540,895,246,132
249,A.J. Lawson,SG,23,DAL,4,0,36,7,16,0.438,3,10,0.3,4,6,0.667,0.531,2,4,0.5,1,2,3,2,0,1,0,2,19,lawsoaj01,2518,540,895,246,132
259,Dereck Lively II,C,19,DAL,19,18,479,75,102,0.735,0,2,0,75,100,0.75,0.735,16,27,0.593,53,93,146,24,12,30,21,60,166,livelde01,2518,540,895,246,132
313,Markieff Morris,PF,34,DAL,5,0,36,5,17,0.294,3,10,0.3,2,7,0.286,0.382,0,0,,2,4,6,2,0,0,3,3,13,morrima02,2518,540,895,246,132
356,Dwight Powell,C,32,DAL,19,1,273,24,33,0.727,1,1,1,23,32,0.719,0.742,32,40,0.8,23,34,57,28,9,8,8,35,81,poweldw01,2518,540,895,246,132
360,Olivier-Maxence Prosper,PF,21,DAL,11,0,92,6,21,0.286,2,13,0.154,4,8,0.5,0.333,9,14,0.643,4,12,16,6,1,0,0,6,23,prospol01,2518,540,895,246,132
474,Grant Williams,PF,25,DAL,19,19,547,62,147,0.422,43,106,0.406,19,41,0.463,0.568,20,31,0.645,22,49,71,32,5,11,17,50,187,willigr01,2518,540,895,246,132
55,Christian Braun,SG,22,DEN,23,0,468,78,164,0.476,14,37,0.378,64,127,0.504,0.518,27,37,0.73,20,74,94,43,10,6,16,40,197,braunch01,2613,683,1015,289,159
76,Kentavious Caldwell-Pope,SG,30,DEN,23,23,779,88,192,0.458,36,87,0.414,52,105,0.495,0.552,40,43,0.93,10,34,44,61,36,10,28,47,252,caldwke01,2613,683,1015,289,159
148,Collin Gillespie,PG,24,DEN,10,0,81,8,19,0.421,3,12,0.25,5,7,0.714,0.5,1,1,1,0,3,3,8,5,0,4,9,20,gilleco01,2613,683,1015,289,159
152,Aaron Gordon,PF,28,DEN,19,19,628,101,208,0.486,9,41,0.22,92,167,0.551,0.507,27,55,0.491,49,85,134,69,20,15,31,35,238,gordoaa01,2613,683,1015,289,159
192,Justin Holiday,SG,34,DEN,13,4,180,23,39,0.59,14,27,0.519,9,12,0.75,0.769,0,0,,3,18,21,14,7,0,3,16,60,holidju01,2613,683,1015,289,159
202,Jay Huff,C,25,DEN,2,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2,huffja01,2613,683,1015,289,159
214,Reggie Jackson,PG,33,DEN,23,13,608,122,246,0.496,38,94,0.404,84,152,0.553,0.573,23,34,0.676,9,46,55,104,17,7,37,45,305,jacksre01,2613,683,1015,289,159
225,Nikola Joki?,C,28,DEN,22,22,752,245,458,0.535,28,92,0.304,217,366,0.593,0.566,106,137,0.774,77,209,286,211,25,18,65,58,624,jokicni01,2613,683,1015,289,159
232,DeAndre Jordan,C,35,DEN,8,1,110,18,30,0.6,0,0,,18,30,0.6,0.6,6,21,0.286,12,24,36,9,3,2,8,12,42,jordade01,2613,683,1015,289,159
237,Braxton Key,SF,26,DEN,6,0,15,1,5,0.2,0,2,0,1,3,0.333,0.2,1,2,0.5,0,3,3,5,0,0,0,3,3,keybr01,2613,683,1015,289,159
316,Jamal Murray,PG,26,DEN,10,10,299,62,146,0.425,23,55,0.418,39,91,0.429,0.503,27,30,0.9,3,26,29,67,3,6,18,21,174,murraja01,2613,683,1015,289,159
326,Zeke Nnaji,PF,23,DEN,19,0,199,25,51,0.49,3,7,0.429,22,44,0.5,0.52,17,28,0.607,23,21,44,8,3,10,10,26,70,nnajize01,2613,683,1015,289,159
345,Jalen Pickett,SG,24,DEN,11,0,74,9,20,0.45,5,14,0.357,4,6,0.667,0.575,2,2,1,1,9,10,7,3,0,6,7,25,pickeja02,2613,683,1015,289,159
352,Michael Porter Jr.,SF,25,DEN,23,23,735,156,316,0.494,68,171,0.398,88,145,0.607,0.601,24,32,0.75,39,147,186,37,11,20,29,53,404,portemi01,2613,683,1015,289,159
418,Julian Strawther,SF,21,DEN,20,0,244,34,91,0.374,19,61,0.311,15,30,0.5,0.478,7,10,0.7,1,22,23,20,5,5,4,33,94,strawju01,2613,683,1015,289,159
442,Hunter Tyson,PF,23,DEN,7,0,18,1,4,0.25,0,3,0,1,1,1,0.25,0,0,,0,4,4,1,0,0,0,5,2,tysonhu01,2613,683,1015,289,159
464,Peyton Watson,SF,21,DEN,21,0,327,41,85,0.482,4,22,0.182,37,63,0.587,0.506,15,23,0.652,9,34,43,19,11,20,13,31,101,watsope01,2613,683,1015,289,159
18,Marvin Bagley III,C,24,DET,20,7,366,77,134,0.575,1,5,0.2,76,129,0.589,0.578,41,48,0.854,37,59,96,23,2,12,26,30,196,baglema01,2376,574,990,376,133
47,Bojan Bogdanovi?,PF,34,DET,3,2,88,19,40,0.475,8,21,0.381,11,19,0.579,0.575,7,9,0.778,1,8,9,10,5,0,5,2,53,bogdabo02,2376,574,990,376,133
72,Alec Burks,SG,32,DET,15,0,288,43,123,0.35,29,79,0.367,14,44,0.318,0.467,42,48,0.875,8,28,36,27,5,4,7,23,157,burksal01,2376,574,990,376,133
83,Malcolm Cazalon,SG,22,DET,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,cazalma01,2376,574,990,376,133
99,Cade Cunningham,PG,22,DET,22,22,768,179,426,0.42,45,131,0.344,134,295,0.454,0.473,81,91,0.89,11,73,84,161,21,5,95,59,484,cunnica01,2376,574,990,376,133
119,Jalen Duren,C,20,DET,14,13,404,80,127,0.63,0,2,0,80,125,0.64,0.63,16,28,0.571,47,106,153,35,8,19,38,48,176,durenja01,2376,574,990,376,133
173,Joe Harris,SG,32,DET,8,0,101,9,26,0.346,6,19,0.316,3,7,0.429,0.462,0,0,,2,5,7,6,2,1,3,12,24,harrijo01,2376,574,990,376,133
181,Killian Hayes,PG,22,DET,21,17,569,84,192,0.438,18,58,0.31,66,134,0.493,0.484,23,34,0.676,8,57,65,90,24,14,20,43,209,hayeski01,2376,574,990,376,133
209,Jaden Ivey,SG,21,DET,18,6,414,71,146,0.486,18,56,0.321,53,90,0.589,0.548,41,51,0.804,13,35,48,49,14,8,34,47,201,iveyja01,2376,574,990,376,133
240,Kevin Knox,SF,24,DET,7,2,130,21,41,0.512,9,21,0.429,12,20,0.6,0.622,2,3,0.667,5,17,22,3,4,1,7,12,53,knoxke01,2376,574,990,376,133
260,Isaiah Livers,PF,25,DET,8,1,166,16,50,0.32,10,34,0.294,6,16,0.375,0.42,5,7,0.714,4,12,16,9,1,0,10,14,47,liveris01,2376,574,990,376,133
370,Jared Rhoden,SG,24,DET,5,0,30,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1,1,3,4,3,0,0,2,4,13,rhodeja01,2376,574,990,376,133
391,Marcus Sasser,PG,23,DET,22,0,382,67,146,0.459,27,69,0.391,40,77,0.519,0.551,9,9,1,3,37,40,60,14,3,16,31,170,sassema01,2376,574,990,376,133
417,Isaiah Stewart,PF,22,DET,22,22,682,87,195,0.446,32,87,0.368,55,108,0.509,0.528,29,36,0.806,41,115,156,31,7,14,37,56,235,stewais01,2376,574,990,376,133
430,Ausar Thompson,SF,21,DET,22,18,600,93,211,0.441,6,46,0.13,87,165,0.527,0.455,31,45,0.689,66,122,188,55,21,29,43,78,223,thompau01,2376,574,990,376,133
443,Stanley Umude,SG,24,DET,15,0,155,20,44,0.455,14,27,0.519,6,17,0.353,0.614,21,23,0.913,3,25,28,8,4,5,10,24,75,umudest01,2376,574,990,376,133
487,James Wiseman,C,22,DET,12,0,135,26,40,0.65,0,1,0,26,39,0.667,0.65,8,15,0.533,13,25,38,4,1,5,10,22,60,wisemja01,2376,574,990,376,133
101,Stephen Curry,PG,35,GSW,20,20,676,179,376,0.476,102,236,0.432,77,140,0.55,0.612,128,137,0.934,14,87,101,88,14,4,71,34,588,curryst01,2542,610,1040,349,151
158,Draymond Green,PF,33,GSW,14,14,360,50,101,0.495,18,40,0.45,32,61,0.525,0.584,25,30,0.833,22,59,81,85,6,11,33,42,143,greendr01,2542,610,1040,349,151
215,Trayce Jackson-Davis,PF,23,GSW,13,0,102,12,22,0.545,0,0,,12,22,0.545,0.545,15,25,0.6,11,12,23,6,2,7,6,18,39,jackstr02,2542,610,1040,349,151
233,Cory Joseph,PG,32,GSW,11,0,121,7,28,0.25,4,19,0.211,3,9,0.333,0.321,4,7,0.571,2,8,10,24,3,1,5,10,22,josepco01,2542,610,1040,349,151
244,Jonathan Kuminga,PF,21,GSW,21,1,422,91,194,0.469,14,50,0.28,77,144,0.535,0.505,50,73,0.685,20,50,70,20,12,7,29,51,246,kuminjo01,2542,610,1040,349,151
263,Kevon Looney,C,27,GSW,22,19,495,52,90,0.578,0,0,,52,90,0.578,0.578,22,32,0.688,61,124,185,58,16,7,21,58,126,looneke01,2542,610,1040,349,151
310,Moses Moody,SG,21,GSW,22,4,418,69,144,0.479,25,72,0.347,44,72,0.611,0.566,24,32,0.75,28,48,76,23,17,7,14,33,187,moodymo01,2542,610,1040,349,151
340,Chris Paul,PG,38,GSW,19,7,503,58,147,0.395,21,66,0.318,37,81,0.457,0.466,26,28,0.929,6,62,68,137,27,1,22,31,163,paulch01,2542,610,1040,349,151
342,Gary Payton II,SG,31,GSW,14,0,242,34,71,0.479,9,28,0.321,25,43,0.581,0.542,6,9,0.667,15,29,44,13,17,4,9,26,83,paytoga02,2542,610,1040,349,151
347,Brandin Podziemski,SG,20,GSW,16,0,307,44,97,0.454,17,39,0.436,27,58,0.466,0.541,12,18,0.667,19,52,71,36,8,2,16,27,117,podzibr01,2542,610,1040,349,151
363,Lester Quinones,SG,23,GSW,2,0,9,2,6,0.333,1,4,0.25,1,2,0.5,0.417,0,0,,0,0,0,0,0,0,1,1,5,quinole01,2542,610,1040,349,151
374,Jerome Robinson,SG,26,GSW,1,0,5,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0,robinje01,2542,610,1040,349,151
388,Gui Santos,PF,21,GSW,2,0,12,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,2,2,4,1,0,0,2,2,4,santogu01,2542,610,1040,349,151
389,Dario Šari?,C,29,GSW,22,4,475,81,178,0.455,36,94,0.383,45,84,0.536,0.556,38,46,0.826,38,97,135,52,15,6,28,52,236,saricda01,2542,610,1040,349,151
431,Klay Thompson,SF,33,GSW,21,21,633,114,282,0.404,58,164,0.354,56,118,0.475,0.507,46,52,0.885,13,69,82,44,8,12,42,48,332,thompkl01,2542,610,1040,349,151
472,Andrew Wiggins,SF,28,GSW,20,20,550,98,233,0.421,18,65,0.277,80,168,0.476,0.459,37,59,0.627,38,50,88,23,6,7,39,50,251,wiggian01,2542,610,1040,349,151
61,Dillon Brooks,SF,28,HOU,19,19,594,96,198,0.485,36,85,0.424,60,113,0.531,0.576,36,43,0.837,15,51,66,33,19,1,36,76,264,brookdi01,2095,495,846,247,115
71,Reggie Bullock,SF,32,HOU,9,0,82,5,15,0.333,4,13,0.308,1,2,0.5,0.467,1,1,1,2,11,13,3,1,1,2,7,15,bullore01,2095,495,846,247,115
120,Tari Eason,PF,22,HOU,12,0,218,30,70,0.429,8,22,0.364,22,48,0.458,0.486,11,17,0.647,19,54,73,15,5,14,8,23,79,easonta01,2095,495,846,247,115
159,Jalen Green,SG,21,HOU,19,19,603,122,286,0.427,40,118,0.339,82,168,0.488,0.497,79,100,0.79,7,81,88,58,10,7,46,29,363,greenja05,2095,495,846,247,115
160,Jeff Green,PF,37,HOU,18,0,274,34,64,0.531,7,22,0.318,27,42,0.643,0.586,31,40,0.775,15,27,42,11,4,8,10,22,106,greenje02,2095,495,846,247,115
188,Nate Hinton,SG,24,HOU,4,0,16,3,6,0.5,3,3,1,0,3,0,0.75,0,0,,1,2,3,0,0,0,0,2,9,hintona01,2095,495,846,247,115
190,Aaron Holiday,PG,27,HOU,17,1,315,49,97,0.505,22,48,0.458,27,49,0.551,0.619,6,8,0.75,4,30,34,36,9,1,8,32,126,holidaa01,2095,495,846,247,115
246,Jock Landale,C,28,HOU,13,0,113,9,26,0.346,2,10,0.2,7,16,0.438,0.385,4,4,1,9,14,23,8,4,3,8,9,24,landajo01,2095,495,846,247,115
273,Boban Marjanovi?,C,35,HOU,3,0,20,5,9,0.556,0,1,0,5,8,0.625,0.556,0,1,0,2,6,8,3,0,1,0,2,10,marjabo01,2095,495,846,247,115
387,Jermaine Samuels,SF,25,HOU,5,0,29,2,4,0.5,0,2,0,2,2,1,0.5,2,2,1,1,6,7,2,0,1,0,3,6,samueje01,2095,495,846,247,115
395,Alperen ?engün,C,21,HOU,19,19,625,162,299,0.542,15,50,0.3,147,249,0.59,0.567,56,87,0.644,48,124,172,108,17,16,48,60,395,sengual01,2095,495,846,247,115
411,Jabari Smith Jr.,PF,20,HOU,19,19,571,95,191,0.497,30,84,0.357,65,107,0.607,0.576,21,28,0.75,33,128,161,31,11,14,26,59,241,smithja05,2095,495,846,247,115
422,Jae'Sean Tate,SF,28,HOU,18,0,323,39,78,0.5,12,34,0.353,27,44,0.614,0.577,8,10,0.8,16,47,63,20,17,5,7,47,98,tateja01,2095,495,846,247,115
429,Amen Thompson,SF,21,HOU,4,0,67,9,22,0.409,2,11,0.182,7,11,0.636,0.455,5,8,0.625,1,10,11,6,2,1,6,9,25,thompam01,2095,495,846,247,115
446,Fred VanVleet,PG,29,HOU,18,18,681,99,258,0.384,56,147,0.381,43,111,0.387,0.492,47,54,0.87,6,68,74,157,14,9,29,32,301,vanvlfr01,2095,495,846,247,115
